"domain","operation","route_name","path","controller","auth_expected"
"chat","create","api_chat_rooms_add_participant","/api/chat/rooms/{id}/participants","App\Controller\Api\Chat\ApiChatRoomController::addParticipant","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","create","api_chat_rooms_group","/api/chat/rooms/group","App\Controller\Api\Chat\ApiChatRoomController::createGroup","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","create","api_chat_rooms_private","/api/chat/rooms/private","App\Controller\Api\Chat\ApiChatRoomController::createPrivate","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_messages_edit","/api/chat/messages/{id}","App\Controller\Api\Chat\ApiChatMessageController::edit","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_messages_delete","/api/chat/messages/{id}","App\Controller\Api\Chat\ApiChatMessageController::delete","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_rooms_list","/api/chat/rooms","App\Controller\Api\Chat\ApiChatRoomController::list","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_rooms_detail","/api/chat/rooms/{id}","App\Controller\Api\Chat\ApiChatRoomController::detail","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_messages_list","/api/chat/rooms/{id}/messages","App\Controller\Api\Chat\ApiChatMessageController::messages","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_messages_send","/api/chat/rooms/{id}/messages","App\Controller\Api\Chat\ApiChatMessageController::send","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_messages_read","/api/chat/rooms/{id}/read","App\Controller\Api\Chat\ApiChatMessageController::markAsRead","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_rooms_department","/api/chat/rooms/department","App\Controller\Api\Chat\ApiChatRoomController::createDepartment","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_unread_count","/api/chat/unread-count","App\Controller\Api\Chat\ApiChatMessageController::unreadCount","session/main firewall + ROLE_USER (catch-all access_control)"
"chat","read","api_chat_user_profile","/api/chat/users/{id}/profile","App\Controller\Api\Chat\ApiChatUserController::profile","session/main firewall + ROLE_USER (catch-all access_control)"
