"type","domain","operation","route_name","path","controller"
"api","chat","create","api_chat_rooms_add_participant","/api/chat/rooms/{id}/participants","App\Controller\Api\Chat\ApiChatRoomController::addParticipant"
"api","chat","create","api_chat_rooms_group","/api/chat/rooms/group","App\Controller\Api\Chat\ApiChatRoomController::createGroup"
"api","chat","create","api_chat_rooms_private","/api/chat/rooms/private","App\Controller\Api\Chat\ApiChatRoomController::createPrivate"
"api","chat","read","api_chat_messages_delete","/api/chat/messages/{id}","App\Controller\Api\Chat\ApiChatMessageController::delete"
"api","chat","read","api_chat_messages_edit","/api/chat/messages/{id}","App\Controller\Api\Chat\ApiChatMessageController::edit"
"api","chat","read","api_chat_rooms_list","/api/chat/rooms","App\Controller\Api\Chat\ApiChatRoomController::list"
"api","chat","read","api_chat_rooms_detail","/api/chat/rooms/{id}","App\Controller\Api\Chat\ApiChatRoomController::detail"
"api","chat","read","api_chat_messages_send","/api/chat/rooms/{id}/messages","App\Controller\Api\Chat\ApiChatMessageController::send"
"api","chat","read","api_chat_messages_list","/api/chat/rooms/{id}/messages","App\Controller\Api\Chat\ApiChatMessageController::messages"
"api","chat","read","api_chat_messages_read","/api/chat/rooms/{id}/read","App\Controller\Api\Chat\ApiChatMessageController::markAsRead"
"api","chat","read","api_chat_rooms_department","/api/chat/rooms/department","App\Controller\Api\Chat\ApiChatRoomController::createDepartment"
"api","chat","read","api_chat_unread_count","/api/chat/unread-count","App\Controller\Api\Chat\ApiChatMessageController::unreadCount"
"api","chat","read","api_chat_user_profile","/api/chat/users/{id}/profile","App\Controller\Api\Chat\ApiChatUserController::profile"
"api","chat","update","api_chat_rooms_remove_participant","/api/chat/rooms/{id}/participants/{userId}","App\Controller\Api\Chat\ApiChatRoomController::removeParticipant"
"api","kanban","create","api_kanban_boards_create","/api/kanban/boards","App\Controller\Kanban\Api\KanbanBoardApiController::create"
"api","kanban","create","api_kanban_columns_create","/api/kanban/boards/{boardId}/columns","App\Controller\Kanban\Api\KanbanColumnApiController::create"
"api","kanban","create","api_kanban_labels_create","/api/kanban/boards/{boardId}/labels","App\Controller\Kanban\Api\KanbanLabelApiController::create"
"api","kanban","create","api_kanban_cards_create","/api/kanban/cards","App\Controller\Kanban\Api\KanbanCardApiController::create"
"api","kanban","delete","api_kanban_columns_delete","/api/kanban/boards/{boardId}/columns/{id}","App\Controller\Kanban\Api\KanbanColumnApiController::delete"
"api","kanban","delete","api_kanban_labels_delete","/api/kanban/boards/{boardId}/labels/{id}","App\Controller\Kanban\Api\KanbanLabelApiController::delete"
"api","kanban","delete","api_kanban_boards_delete","/api/kanban/boards/{id}","App\Controller\Kanban\Api\KanbanBoardApiController::delete"
"api","kanban","delete","api_kanban_cards_delete","/api/kanban/cards/{id}","App\Controller\Kanban\Api\KanbanCardApiController::deleteCard"
"api","kanban","read","api_kanban_boards_list","/api/kanban/boards","App\Controller\Kanban\Api\KanbanBoardApiController::list"
"api","kanban","read","api_kanban_labels_list","/api/kanban/boards/{boardId}/labels","App\Controller\Kanban\Api\KanbanLabelApiController::list"
"api","kanban","read","api_kanban_boards_show","/api/kanban/boards/{id}","App\Controller\Kanban\Api\KanbanBoardApiController::show"
"api","kanban","read","api_kanban_boards_add_member","/api/kanban/boards/{id}/members","App\Controller\Kanban\Api\KanbanBoardApiController::addMember"
"api","kanban","read","api_kanban_attachments_upload","/api/kanban/cards/{cardId}/attachments","App\Controller\Kanban\Api\KanbanAttachmentApiController::upload"
"api","kanban","read","api_kanban_attachments_delete","/api/kanban/cards/{cardId}/attachments/{id}","App\Controller\Kanban\Api\KanbanAttachmentApiController::delete"
"api","kanban","read","api_kanban_attachments_download","/api/kanban/cards/{cardId}/attachments/{id}/download","App\Controller\Kanban\Api\KanbanAttachmentApiController::download"
"api","kanban","read","api_kanban_checklist_create","/api/kanban/cards/{cardId}/checklist","App\Controller\Kanban\Api\KanbanChecklistApiController::create"
"api","kanban","read","api_kanban_checklist_update","/api/kanban/cards/{cardId}/checklist/{id}","App\Controller\Kanban\Api\KanbanChecklistApiController::update"
"api","kanban","read","api_kanban_checklist_delete","/api/kanban/cards/{cardId}/checklist/{id}","App\Controller\Kanban\Api\KanbanChecklistApiController::delete"
"api","kanban","read","api_kanban_comments_create","/api/kanban/cards/{cardId}/comments","App\Controller\Kanban\Api\KanbanCommentApiController::create"
"api","kanban","read","api_kanban_comments_list","/api/kanban/cards/{cardId}/comments","App\Controller\Kanban\Api\KanbanCommentApiController::list"
"api","kanban","read","api_kanban_comments_delete","/api/kanban/cards/{cardId}/comments/{commentId}","App\Controller\Kanban\Api\KanbanCommentApiController::delete"
"api","kanban","read","api_kanban_comments_update","/api/kanban/cards/{cardId}/comments/{commentId}","App\Controller\Kanban\Api\KanbanCommentApiController::update"
"api","kanban","read","api_kanban_cards_show","/api/kanban/cards/{id}","App\Controller\Kanban\Api\KanbanCardApiController::show"
"api","kanban","read","api_kanban_cards_assign_new_member","/api/kanban/cards/{id}/assign-new-member","App\Controller\Kanban\Api\KanbanCardApiController::assignNewMember"
"api","kanban","search","api_kanban_users_search","/api/kanban/users/search","App\Controller\Kanban\Api\KanbanUserSearchApiController::search"
"api","kanban","update","api_kanban_columns_update","/api/kanban/boards/{boardId}/columns/{id}","App\Controller\Kanban\Api\KanbanColumnApiController::update"
"api","kanban","update","api_kanban_labels_toggle","/api/kanban/boards/{boardId}/labels/cards/{cardId}/{labelId}","App\Controller\Kanban\Api\KanbanLabelApiController::toggleLabel"
"api","kanban","update","api_kanban_boards_update","/api/kanban/boards/{id}","App\Controller\Kanban\Api\KanbanBoardApiController::update"
"api","kanban","update","api_kanban_cards_update","/api/kanban/cards/{id}","App\Controller\Kanban\Api\KanbanCardApiController::update"
"api","kanban","update","api_kanban_cards_archive","/api/kanban/cards/{id}/archive","App\Controller\Kanban\Api\KanbanCardApiController::archive"
"api","kanban","update","api_kanban_cards_assignees","/api/kanban/cards/{id}/assignees","App\Controller\Kanban\Api\KanbanCardApiController::setAssignees"
"api","kanban","update","api_kanban_cards_move","/api/kanban/cards/{id}/move","App\Controller\Kanban\Api\KanbanCardApiController::move"
"api","notifications","read","api_notifications_latest","/api/notifications/latest","App\Controller\Notification\NotificationController::latest"
"api","notifications","update","api_notifications_read","/api/notifications/{id}/read","App\Controller\Notification\NotificationController::markAsRead"
"api","notifications","update","api_notifications_read_all","/api/notifications/read-all","App\Controller\Notification\NotificationController::markAllAsRead"
"api","spa-auth","create","spa_api_login_check","/spa/api/login_check","(security/internal)"
"api","spa-auth","create","_logout_refresh_jwt","/spa/api/logout","(security/internal)"
"api","spa-auth","create","gesdinet_jwt_refresh_token","/spa/api/token/refresh","(security/internal)"
"api","spa-auth","delete","spa_api_logout","/spa/api/logout","(security/internal)"
"api","spa-auth","read","spa_api_me","/spa/api/me","App\Controller\SpaApi\MeController"
"web","all_organizations","other","app_all_organizations","/all_organizations","App\Controller\Organization\OrganizationController::allOrganizations"
